Href,ArticleTitle,DateRetrieved,Content,WebSiteName
https://news.google.com/articles/CAIiEJVaewAO680aeYMeFAsWdP0qFggEKg0IACoGCAowof8GMMBfMPbV8wU?hl=en-GB&gl=GB&ceid=GB%3Aen,Human rights activists want to use AI to help prove war crimes in court,06/26/2020 00:00:00,Tech,MIT Tech Review
https://news.google.com/articles/CAIiEF3o3DEeivyB7oqh35wwu6MqFggEKg0IACoGCAowof8GMMBfMPbV8wU?hl=en-GB&gl=GB&ceid=GB%3Aen,Cloud and complexity in IT,06/26/2020 00:00:00,Tech,MIT Tech Review
https://news.google.com/articles/CAIiEE9gwjvI4h3SUtY4XYqyyRUqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-GB&gl=GB&ceid=GB%3Aen,Mary Meeker's Bond backs Indian online learning startup Byju's,06/26/2020 00:00:00,Tech,Tech Crunch
https://news.google.com/articles/CAIiEI0oPVaGqq90rO9eahGSL3UqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-GB&gl=GB&ceid=GB%3Aen,All the tech in Ford's most important vehicle: the 2021 F-150 truck,06/26/2020 00:00:00,Tech,Tech Crunch
https://news.google.com/articles/CAIiEKJu7cWhO9TrFAEERGg6OHAqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-GB&gl=GB&ceid=GB%3Aen,"Lordstown debuts a $52,500 electric pickup alongside a campaigning Mike Pence",06/26/2020 00:00:00,Tech,Tech Crunch
https://news.google.com/articles/CBMiMGh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9ydWdieS11bmlvbi81MzE5MDczOdIBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Nick Tompkins: Wales centre Nick Tompkins joins Dragons on season loan from Saracens,06/26/2020 00:00:00,Sport,BBC Sport
https://news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9mb290YmFsbC81MzE5MzYwMtIBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Tessa Wullaert: Manchester City's Belgium forward to leave club,06/26/2020 00:00:00,Sport,BBC Sport
https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvbmV3cy9taWNyb3NvZnQtd2lsbC1uby1sb25nZXItbGV0LXlvdS1kZWZlci13aW5kb3dzLTEwLXVwZGF0ZS1kb3dubG9hZHPSAWhodHRwczovL3d3dy50ZWNocmFkYXIuY29tL2F1L2FtcC9uZXdzL21pY3Jvc29mdC13aWxsLW5vLWxvbmdlci1sZXQteW91LWRlZmVyLXdpbmRvd3MtMTAtdXBkYXRlLWRvd25sb2Fkcw?hl=en-GB&gl=GB&ceid=GB%3Aen,Microsoft will no longer let you defer Windows 10 update downloads,06/26/2020 00:00:00,Tech,TechRadar
https://news.google.com/articles/CAIiEBckLp7Iu8-7tvdOU8Old4EqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-GB&gl=GB&ceid=GB%3Aen,Amsterdam ejects Airbnb el at from three central districts in latest p2p platform limits,06/26/2020 00:00:00,Tech,Tech Crunch
https://news.google.com/articles/CBMijQFodHRwczovL3d3dy5jeWNsaW5nd2Vla2x5LmNvbS9uZXdzL2xhdGVzdC1uZXdzL2RyaXZlci1hZG1pdHMta2lsbGluZy1jeWNsaXN0LWFmdGVyLWJlaW5nLXRvbGQtbm90LXRvLWRyaXZlLWJlY2F1c2Utb2YtZmFpbGluZy1leWVzaWdodC00NTg2MjDSAZEBaHR0cHM6Ly93d3cuY3ljbGluZ3dlZWtseS5jb20vbmV3cy9sYXRlc3QtbmV3cy9kcml2ZXItYWRtaXRzLWtpbGxpbmctY3ljbGlzdC1hZnRlci1iZWluZy10b2xkLW5vdC10by1kcml2ZS1iZWNhdXNlLW9mLWZhaWxpbmctZXllc2lnaHQtNDU4NjIwL2FtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Driver admits killing cyclist after being told not to drive because of failing eyesight,06/26/2020 00:00:00,Hobbies,Cycling Weekly
